hz,ppm,intensity,norm_intensity,nuclei
45312.603792982285,257.3979484690676,3428249.75,0.1382255080129246,13C
45306.580586805525,257.36373368590955,3387071.375,0.13656521421329065,13C
45300.55738062877,257.3295189027515,3342889.25,0.13478381054711505,13C
45294.53417445201,257.2953041195935,3294650.3125,0.13283883800188517,13C
45288.51096827525,257.2610893364354,3243547.6875,0.13077840284793554,13C
45282.4877620985,257.22687455327736,3193895.5625,0.1287764512100637,13C
45276.46455592174,257.1926597701193,3149229.125,0.12697552027888956,13C
45270.44134974498,257.15844498696123,3107870.75,0.1253079689591632,13C
45264.418143568226,257.12423020380317,3064320.1875,0.12355202961261731,13C
45258.394937391466,257.09001542064516,3015233.125,0.12157286104389659,13C
45252.371731214706,257.0558006374871,2962421.1875,0.11944350716876415,13C
45246.34852503795,257.02158585432903,2909724.4375,0.11731879760249637,13C
45240.32531886119,256.98737107117097,2858858.6875,0.11526791314339056,13C
45234.30211268443,256.9531562880129,2809318.75,0.11327048485571518,13C
45228.27890650767,256.91894150485484,2760498.0,0.11130205388877003,13C
45222.25570033092,256.88472672169684,2711722.875,0.10933546250157052,13C
45216.23249415416,256.8505119385388,2660813.5,0.10728281910183118,13C
45210.2092879774,256.8162971553807,2605233.0625,0.10504184053572231,13C
45204.186081800646,256.78208237222265,2546182.625,0.10266095311005476,13C
45198.162875623886,256.7478675890646,2490762.1875,0.10042642567291689,13C
45192.139669447126,256.7136528059065,2448245.125,0.09871215658756809,13C
45186.11646327037,256.6794380227485,2422838.3125,0.09768776518644522,13C
45180.09325709361,256.64522323959045,2409779.0625,0.09716122202385392,13C
45174.07005091685,256.6110084564324,2399145.875,0.09673249662425777,13C
45168.0468447401,256.5767936732743,2384231.0625,0.0961311380054086,13C
45162.02363856334,256.54257889011626,2366244.5625,0.09540593031017738,13C
45156.00043238658,256.50836410695825,2350736.0,0.09478063195491238,13C
45149.97722620983,256.4741493238002,2340347.1875,0.09436175964683052,13C
45143.95402003307,256.4399345406421,2332280.8125,0.09403652698774617,13C
45137.93081385631,256.40571975748406,2322109.5625,0.09362642670308154,13C
45131.90760767955,256.371504974326,2307547.0625,0.09303927316782985,13C
45125.88440150279,256.33729019116794,2287734.9375,0.09224045708305056,13C
